"ID_CENTRO","CD_CENTRO","DS_CENTRO","CDSUBDIR","CDGENERICO","CDNATURALEZA","ITCONCIERTO","CDSITUACION","CDPROV","CDMUNI","CDLOCALIDAD","CDDISTRITO","CDPOSTAL","ITHORARIO_AMP","ITCOMEDOR","ITTRANSPORTE","ITBILINGUE","ITPUBLICO_BILINGUE","CDCURSO_PUBLICO_BILINGUE","CBRITISH","DS_ABRV","DES_NATUR","CD_NIVEL","NM_CURSO","NM_ALUMNOS","NM_UNIDADES","RATIO","GRUPOS_PREDECIR","NUM_ALUMNOS_PREDECIR"
2,"28000029",SAN BLAS,"3","070","1",N,A,"28","002","0001",,"28864",S,S,N,S,S,"2005",,CP INF-PRI-SEC,CENTRO PÚBLICO,"13","1",68,3,0.75555556,3,68
15,"28000157",SAGRADO CORAZON DE JESUS,"3","072","2",S,A,"28","005","0001",,"28801",S,S,N,S,S,"2012",,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","1",66,2,1.10000000,2,66
15,"28000157",SAGRADO CORAZON DE JESUS,"3","072","2",S,A,"28","005","0001",,"28801",S,S,N,S,S,"2012",,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","2",60,2,1.00000000,2,60
15,"28000157",SAGRADO CORAZON DE JESUS,"3","072","2",S,A,"28","005","0001",,"28801",S,S,N,S,S,"2012",,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","3",54,2,0.90000000,2,54
15,"28000157",SAGRADO CORAZON DE JESUS,"3","072","2",S,A,"28","005","0001",,"28801",S,S,N,S,S,"2012",,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","4",53,2,0.88333333,2,53
30,"28000303",ESCUELAS PIAS,"3","072","2",S,A,"28","005","0001",,"28804",S,S,N,N,,,,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","1",82,3,0.91111111,3,82
30,"28000303",ESCUELAS PIAS,"3","072","2",S,A,"28","005","0001",,"28804",S,S,N,N,,,,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","2",96,3,1.06666667,3,96
30,"28000303",ESCUELAS PIAS,"3","072","2",S,A,"28","005","0001",,"28804",S,S,N,N,,,,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","3",92,3,1.02222222,3,92
30,"28000303",ESCUELAS PIAS,"3","072","2",S,A,"28","005","0001",,"28804",S,S,N,N,,,,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","4",72,3,0.80000000,3,72
32,"28000327",SANTA MARIA DE LA PROVIDENCIA,"3","072","2",S,A,"28","005","0001",,"28807",S,S,N,N,,,,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","1",86,3,0.95555556,3,86
32,"28000327",SANTA MARIA DE LA PROVIDENCIA,"3","072","2",S,A,"28","005","0001",,"28807",S,S,N,N,,,,CPR INF-PRI-SEC,CENTRO PRIVADO,"13","2",92,3,1.02222222,3,92
